code,date,price,high,low,dolvol,baspread
000001.SZ,19970131,19.24,19.5,15.68,5137125842.0,3.82
000001.SZ,19970228,19.21,19.78,17.03,5601077858.0,2.75
000001.SZ,19970331,27.3,28.85,18.89,12333480228.0,9.96
000001.SZ,19970430,36.75,37.86,27.03,16703688482.0,10.829999999999998
000001.SZ,19970530,33.64,49.0,30.58,32128704250.0,18.42
000001.SZ,19970627,37.74,38.88,29.18,10011808324.0,9.700000000000003
000001.SZ,19970731,34.69,39.2,30.8,9211160602.0,8.400000000000002
000001.SZ,19970829,22.16,34.86,21.0,4210745320.0,13.86
000001.SZ,19970930,21.31,23.58,18.8,3621225440.0,4.7799999999999985
000001.SZ,19971031,25.09,27.7,20.76,12407958752.0,6.939999999999998
000001.SZ,19971128,24.26,26.5,23.4,4698224392.0,3.1000000000000014
000001.SZ,19971231,22.7,24.99,22.48,3535935968.0,2.509999999999998
000001.SZ,19980123,23.18,24.3,20.71,2774533396.0,3.59
000001.SZ,19980227,22.71,24.26,22.21,1208681152.0,2.0500000000000007
000001.SZ,19980331,21.57,22.7,20.05,2126286844.0,2.6499999999999986
000001.SZ,19980430,20.86,23.0,20.4,2931748224.0,2.6000000000000014
000001.SZ,19980529,20.07,21.4,19.95,2208165976.0,1.4499999999999993
000001.SZ,19980630,17.12,20.3,17.1,1746011384.0,3.1999999999999997
000001.SZ,19980731,17.26,18.0,15.01,1740171766.0,2.99
000001.SZ,19980831,16.14,17.5,15.0,1172085262.0,2.5
000001.SZ,19980930,15.77,16.5,15.38,859261529.0,1.1199999999999992
000001.SZ,19981030,14.89,15.8,14.28,835786636.0,1.5200000000000014
000001.SZ,19981130,15.87,17.77,14.5,1984691260.0,3.27
000001.SZ,19981231,14.85,16.35,14.72,684824336.0,1.6300000000000008
000001.SZ,19990129,14.47,15.25,14.3,447298278.0,0.9499999999999992
000001.SZ,19990209,13.59,14.55,13.24,200690092.0,1.3100000000000005
000001.SZ,19990331,13.69,14.47,13.5,612307998.0,0.9700000000000006
000001.SZ,19990430,13.4,14.8,13.1,876717575.0,1.7000000000000008
000001.SZ,19990531,18.54,18.54,12.1,3429114066.0,6.44
000001.SZ,19990630,27.54,29.4,18.01,24402558492.0,11.389999999999995
000001.SZ,19990730,22.1,28.0,18.88,11944654624.0,9.12
000001.SZ,19990831,24.65,25.22,21.08,6293475628.0,4.1400000000000015
000001.SZ,19990930,23.29,25.55,23.18,4164316868.0,2.370000000000001
000001.SZ,19991029,21.58,23.25,20.9,1487762072.0,2.3500000000000014
000001.SZ,19991130,19.69,22.68,19.58,2167748120.0,3.1000000000000014
000001.SZ,19991230,17.45,20.03,16.99,1681975090.0,3.0400000000000027
000001.SZ,20000128,18.53,20.48,17.2,3298463484.0,3.280000000000001
000001.SZ,20000229,18.32,21.01,17.8,4175317932.0,3.2100000000000013
000001.SZ,20000331,18.37,20.59,17.68,6859299262.0,2.91
000001.SZ,20000428,19.05,20.02,18.05,3897906836.0,1.9699999999999989
000001.SZ,20000531,18.0,19.18,17.48,1779608400.0,1.6999999999999993
000001.SZ,20000630,18.13,19.23,17.9,2675613716.0,1.3300000000000018
000001.SZ,20000731,18.51,19.47,17.58,2947046352.0,1.8900000000000008
000001.SZ,20000831,17.75,18.95,17.71,2153198116.0,1.2399999999999984
000001.SZ,20000929,16.96,17.85,16.1,1166688700.0,1.75
000001.SZ,20001031,17.55,17.86,16.66,1214757258.0,1.1999999999999993
000001.SZ,20001130,15.49,18.0,15.17,1808175980.0,2.83
000001.SZ,20001229,14.52,15.64,14.3,1121571400.0,1.34
000001.SZ,20010119,14.98,15.2,13.85,1012004200.0,1.3499999999999996
000001.SZ,20010228,14.09,15.1,13.8,518925890.0,1.299999999999999
000001.SZ,20010330,16.22,17.1,14.1,5903546066.0,3.0000000000000018
000001.SZ,20010430,15.53,17.11,15.48,2778050104.0,1.629999999999999
000001.SZ,20010531,16.2,16.43,15.18,1685612448.0,1.25
000001.SZ,20010629,15.31,16.6,15.17,1382545828.0,1.4300000000000015
000001.SZ,20010731,13.83,16.05,13.6,1076464570.0,2.450000000000001
000001.SZ,20010831,12.71,14.22,12.5,736130099.0,1.7200000000000006
000001.SZ,20010928,12.75,13.13,11.98,608094856.0,1.1500000000000004
000001.SZ,20011031,13.81,14.5,11.9,1880120538.0,2.6
000001.SZ,20011130,13.42,14.2,12.55,755405023.0,1.6499999999999986
000001.SZ,20011231,12.25,13.65,11.99,682191322.0,1.66
000001.SZ,20020131,10.53,12.3,9.45,776960811.0,2.8500000000000014
000001.SZ,20020228,10.15,10.98,10.08,438447832.0,0.9000000000000004
000001.SZ,20020329,11.03,12.2,10.1,2101749896.0,2.1
000001.SZ,20020430,11.5,11.79,10.36,924254092.0,1.4299999999999995
000001.SZ,20020531,11.16,11.93,10.8,955067018.0,1.129999999999999
000001.SZ,20020628,15.0,15.5,10.92,6403914202.0,4.58
000001.SZ,20020731,15.01,15.5,13.9,5989213146.0,1.5999999999999996
000001.SZ,20020830,15.4,15.8,14.51,3998026444.0,1.2900000000000011
000001.SZ,20020927,13.77,15.86,13.6,2551309408.0,2.26
000001.SZ,20021031,12.95,13.67,12.53,1286757196.0,1.1400000000000006
000001.SZ,20021129,12.1,13.93,11.4,2483685448.0,2.53
000001.SZ,20021231,10.49,12.09,10.2,1390623668.0,1.8900000000000008
000001.SZ,20030129,11.63,11.8,9.91,2765537760.0,1.8900000000000008
000001.SZ,20030228,11.27,11.6,10.81,936307912.0,0.7899999999999991
000001.SZ,20030331,11.79,11.85,10.68,1744528602.0,1.17
000001.SZ,20030430,12.43,13.9,11.6,8006313702.0,2.3000000000000007
000001.SZ,20030530,12.55,13.18,11.8,2962253848.0,1.379999999999999
000001.SZ,20030630,11.09,12.54,11.01,1357192912.0,1.5299999999999994
000001.SZ,20030731,10.61,11.48,10.32,1124462256.0,1.16
000001.SZ,20030829,10.33,11.16,10.1,834362768.0,1.0600000000000005
000001.SZ,20030930,9.17,10.51,8.99,889565268.0,1.5199999999999996
000001.SZ,20031031,8.14,9.47,7.97,627835455.0,1.5000000000000009
000001.SZ,20031128,8.38,8.99,7.62,1111823172.0,1.37
000001.SZ,20031231,8.51,9.15,8.25,1487433702.0,0.9000000000000004
000001.SZ,20040130,9.28,9.59,8.41,1528924236.0,1.1799999999999995
000001.SZ,20040227,10.36,11.39,9.35,4380283334.0,2.040000000000001
000001.SZ,20040331,10.66,11.4,10.05,3900950840.0,1.3499999999999996
000001.SZ,20040430,9.33,10.78,8.9,1851526612.0,1.879999999999999
000001.SZ,20040531,9.62,9.9,8.81,555807893.0,1.09
000001.SZ,20040630,8.6,10.04,8.38,893088519.0,1.6599999999999984
000001.SZ,20040730,8.11,8.8,8.0,475630400.0,0.8000000000000007
000001.SZ,20040831,8.16,8.29,7.9,352195383.0,0.3899999999999988
000001.SZ,20040930,8.16,9.24,7.86,1198095790.0,1.38
000001.SZ,20041029,7.17,8.49,6.6,837882636.0,1.8900000000000008
000001.SZ,20041130,7.05,7.5,6.79,650625129.0,0.71
000001.SZ,20041231,6.59,7.24,6.55,387461475.0,0.6900000000000004
000001.SZ,20050131,6.06,6.65,5.85,364576363.0,0.8000000000000007
000001.SZ,20050228,6.48,6.77,6.06,442179166.0,0.71
000001.SZ,20050331,5.21,6.5,5.05,473815543.0,1.4500000000000002
000001.SZ,20050429,6.2,7.39,5.12,2621468198.0,2.27
000001.SZ,20050531,6.01,6.4,5.76,776811944.0,0.6400000000000006
000001.SZ,20050630,5.93,6.93,5.7,1396565124.0,1.2299999999999995
000001.SZ,20050729,5.93,6.15,5.42,700027207.0,0.7300000000000004
000001.SZ,20050831,6.23,6.49,5.82,1406012414.0,0.6699999999999999
000001.SZ,20050930,5.76,6.44,5.75,1075347928.0,0.6900000000000004
000001.SZ,20051031,5.71,6.58,5.51,710124316.0,1.0700000000000005
000001.SZ,20051130,5.84,5.9,5.51,501380172.0,0.39000000000000057
000001.SZ,20051230,6.14,6.27,5.6,815753495.0,0.6699999999999999
000001.SZ,20060125,6.35,6.5,6.05,1096272782.0,0.4500000000000002
000001.SZ,20060228,6.84,7.1,6.13,1955446452.0,0.9699999999999998
000001.SZ,20060331,6.37,6.89,6.15,1556451296.0,0.7399999999999993
000001.SZ,20060428,7.88,8.09,6.28,3297142536.0,1.81
000001.SZ,20060531,8.78,8.99,7.66,4375992932.0,1.33
000001.SZ,20060630,7.56,7.9,6.8,2548890086.0,1.1000000000000003
