code,date,price,cashdebt,operprof,roa,roic,ret
000002.SZ,20021231,9.65,0.0996,20.9907,6.9407,6.9865,-0.04854340290969746
000002.SZ,20030331,11.81,-0.3018,27.1893,0.7061,0.6935,0.13389434707772382
000002.SZ,20030630,5.82,-0.2548,28.5265,3.1617,3.3408,-0.2030109726828581
000002.SZ,20030930,5.86,-0.7007,25.285,4.0238,4.2207,-0.0974797142055892
000002.SZ,20031231,6.54,-0.7179,27.4164,8.8147,7.9799,0.1012913340511005
000002.SZ,20040331,8.83,-0.4877,34.6294,1.4737,1.2234,0.07891084563985294
000002.SZ,20040630,4.86,-0.4519,38.1243,4.0497,3.4876,-0.03834980537486598
000002.SZ,20040930,5.42,-0.412,33.3577,4.4758,3.9346,0.07666588174791715
000002.SZ,20041231,5.26,0.8327,26.9313,9.5949,9.5837,0.026976587698202076
000002.SZ,20050331,5.52,-0.2301,35.7951,2.1896,2.1677,-0.03208831455150063
000002.SZ,20050630,3.14,-0.2249,44.0954,6.4517,6.7826,-0.3926444196791029
000002.SZ,20050930,3.59,-0.1247,42.545,6.9452,7.3441,-0.019310944913087512
000002.SZ,20060331,6.55,-0.7873,38.1047,2.6087,2.9459,0.18201625989034684
000002.SZ,20060630,5.65,-0.8811,40.9317,7.1647,7.9925,-0.055091382246160996
000002.SZ,20080331,25.6,-0.1292,38.6618,1.1214,1.3856,0.09628721945215148
000002.SZ,20080630,9.01,-0.1118,42.4621,3.3648,3.9913,-0.7848184197268844
000002.SZ,20081231,6.45,-0.0027,37.1859,6.3866,7.8761,-0.055779341047689675
000002.SZ,20090331,8.28,0.3777,33.8086,1.157,1.3806,0.14673061169125187
000002.SZ,20090630,12.75,2.1971,29.6175,3.6218,4.5105,0.26929015394999134
000002.SZ,20090930,10.42,2.7075,27.4524,4.3752,5.4616,0.10301734704926253
000002.SZ,20091231,10.81,1.037,28.1399,7.1309,9.1743,-0.06448070262985064
000002.SZ,20100331,9.5,-0.3941,36.7204,1.1589,1.571,0.0073957019611289926
000002.SZ,20100630,6.78,-0.4819,40.7146,2.9426,4.0609,-0.06149184934455348
000002.SZ,20100930,8.4,-0.0899,38.4335,3.2929,4.7192,-0.0023781224049673243
000002.SZ,20101231,8.22,0.2332,42.1978,7.0389,10.2643,0.011009285508369396
000002.SZ,20110331,8.69,-0.2029,48.9505,0.8087,1.2641,0.06292877030128502
000002.SZ,20110630,8.45,0.3177,42.3896,1.9387,3.1749,0.07492760700676586
000002.SZ,20110930,7.24,-0.0829,35.0644,2.3435,3.9797,-0.11839672085514637
000002.SZ,20121231,10.12,0.1928,35.8882,6.4676,11.9311,0.14545996348979642
000002.SZ,20130930,9.13,-0.3202,29.435,2.5779,5.0142,-0.03550668845690976
000002.SZ,20131231,8.03,0.0595,30.8827,5.8383,11.2331,-0.08701137698962981
000002.SZ,20140331,8.09,-0.134,39.9163,0.4563,0.9837,0.1855405765353422
000002.SZ,20140630,8.27,0.0891,28.1984,1.527,3.1282,-0.03329677391306909
000002.SZ,20140930,9.18,0.6173,28.4926,2.0885,4.4235,0.0065574005461590396
000002.SZ,20141231,13.9,6.6589,29.8486,5.239,10.7673,0.24312605090154799
000002.SZ,20150331,13.82,-0.6251,34.0017,0.2375,0.5169,0.08058554673508873
000002.SZ,20150630,14.52,-0.3663,29.6858,1.7017,3.761,0.011777067191019862
000002.SZ,20150930,12.73,-0.1656,26.6731,2.3787,5.1982,-0.0807071795938439
000002.SZ,20151231,24.43,0.6099,29.5546,6.1106,13.1091,0.48310587263124494
000002.SZ,20160930,26.17,3.3482,26.9133,2.4309,5.2553,0.048541819006588036
000002.SZ,20170331,20.58,-0.1866,29.8041,0.2261,0.4609,0.0024324993750611955
000002.SZ,20170630,24.97,0.6859999999999999,33.6874,1.6585,3.5902,0.16084773137787992
000002.SZ,20190930,25.9,0.0141,35.5704,2.9457,6.5551,0.003868476777920332
000002.SZ,20191231,32.18,0.4846,36.6414,5.0492,11.5225,0.1499127283709444
000060.SZ,20021231,5.72,0.1566,18.6655,4.1407,1.1719,-0.0675932911325283
000060.SZ,20030630,6.03,0.053,21.0661,2.1121,0.7852,-0.09636495274924832
000060.SZ,20030930,5.1,0.0576,24.9291,3.2244,1.2062,-0.03846628082779605
000060.SZ,20031231,7.25,0.1146,17.0441,4.3091,1.5206,0.25645074933197837
000060.SZ,20040331,8.9,0.0739,26.3441,1.2636,0.6453,0.08558236786618262
000060.SZ,20040630,5.93,0.0728,28.6119,2.7872,1.5802,-0.19544473828722367
000060.SZ,20040930,6.62,0.1221,23.9646,4.6648,2.6912,0.04321660149978224
000060.SZ,20041231,6.06,0.1918,22.5354,6.5895,3.3334,-0.035660180398884335
000060.SZ,20050331,6.27,0.0564,30.4413,2.2589,1.3762,-0.078200747307475
000060.SZ,20050630,6.03,0.1395,26.8965,5.191,2.9939,0.052778205347387724
000060.SZ,20050930,7.33,0.2734,27.236,8.5625,5.0789,0.08688736136350196
000060.SZ,20060331,11.23,0.0855,42.1946,0.9167,0.9195,0.23029282215843383
000060.SZ,20060630,13.33,-0.0312,42.1442,10.6281,10.1943,-0.08067728036782383
000060.SZ,20080331,30.86,0.7015,30.2076,4.4939,4.8132,-0.2579174810526544
000060.SZ,20080630,14.02,0.8374,33.5197,9.5218,9.9649,-0.6711524233430679
000060.SZ,20081231,7.8,1.0987,-6.9768,9.7569,9.5622,0.05264373348542188
000060.SZ,20090331,16.47,0.1225,16.7617,0.4379,0.542,0.39279525536711263
000060.SZ,20090630,21.49,0.2652,24.2127,2.3343,2.4691,0.11685280303116367
000060.SZ,20090930,22.72,0.0769,19.1243,4.0999,3.6701,0.08206205739504213
000060.SZ,20091231,27.9,0.1897,23.4609,6.5172,6.9307,0.026145280104322207
000060.SZ,20100331,26.13,0.2707,17.9799,1.9399,2.1153,0.1133439934991826
000060.SZ,20100630,12.94,0.474,21.1181,3.6984,4.9308,-0.12069823964153628
000060.SZ,20100930,17.0,0.5567,17.3713,5.0566,6.5236,0.06500922013425896
000060.SZ,20101231,22.5,0.6054,26.1868,6.2381,8.4755,0.1596472397550823
000060.SZ,20110331,20.8,0.0495,20.8976,0.9034,1.047,-0.0033597343818371384
000060.SZ,20110630,13.3,0.1819,29.7648,4.343,4.6744,0.05406722127027579
000060.SZ,20110930,10.33,0.1646,22.2959,8.5687,8.685,-0.14902068590787573
000060.SZ,20121231,9.05,0.5298,9.3602,6.5804,6.568,0.19723889898216704
000060.SZ,20130930,6.98,0.0574,5.1781,2.4094,2.9236,-0.04208194543431346
000060.SZ,20131231,6.28,0.2519,3.7876,4.7037,5.2569,-0.0572468741876555
000060.SZ,20140331,5.76,0.0282,8.2023,0.8813,1.0768,-0.03245374484973863
000060.SZ,20140630,6.8,0.0603,8.5697,2.0922,2.2048,0.1905909482764612
000060.SZ,20140930,7.66,0.078,4.9718,5.3177,5.8038,0.009180392344961394
000060.SZ,20141231,9.49,0.2172,4.8216,5.8020000000000005,6.5601,0.14488568915749955
000060.SZ,20150331,12.75,0.0265,11.1465,1.0437,0.9943,0.18751147172228882
000060.SZ,20150630,18.59,0.1007,9.7053,2.0831,2.0153,-0.10750989853797067
000060.SZ,20150930,9.39,0.0092,4.3591,2.3622,2.5251,-0.1789434755301802
000060.SZ,20151231,14.03,0.0844,2.1488,3.2214,3.1474,0.13567195712363356
000060.SZ,20160331,11.17,0.0248,4.7401,-0.2191,-0.268,-0.029115422288095008
000060.SZ,20160630,10.43,0.0883,14.103,0.8401,1.023,0.05924733485360583
000060.SZ,20160930,10.19,0.1936,10.0299,2.3401,2.3952,-0.06367946727115595
000060.SZ,20170331,11.14,0.0831,11.258,2.0458,1.9397,-0.033542420768607153
000060.SZ,20170630,11.2,0.7982,13.9801,4.5619,4.4297,0.12641392485565872
000060.SZ,20190930,4.04,0.4588,6.5657,4.4041,4.7118,-0.014742281737203319
000060.SZ,20191231,4.3,1.2438,11.7219,5.9314,6.3757,0.07733320340317032
000063.SZ,20030331,17.45,-1.2402,39.57,1.3952,1.2632,0.035582639834255456
000063.SZ,20030930,18.23,-0.6016,34.9412,3.9668,3.2631,-0.039790195256351114
000063.SZ,20040331,28.63,-1.7169,39.7696,1.6031,1.5616,0.11616890072199956
000063.SZ,20040630,20.34,0.2997,35.4214,4.6538,5.6739,-0.039523216369684776
000063.SZ,20040930,26.71,-0.5094,41.8877,7.0945,8.2061,0.1530281352753307
000063.SZ,20050930,27.93,-15.5583,38.9381,6.0589,6.6516,0.09495220593259461
000063.SZ,20080331,58.88,-0.879,35.4143,0.8903,1.0771,-0.14635640810043946
000063.SZ,20080630,62.6,-0.6656,32.1655,2.6829,3.682,-0.10211243484834612
000063.SZ,20081231,27.2,0.9603,31.9145,6.3082,9.2793,0.2445099005865722
000063.SZ,20090331,35.34,-0.5945,34.385,1.0606,1.1557,0.19599698359363021
000063.SZ,20090630,28.1,-0.185,30.3696,2.7525,3.4324,-0.2343263417842693
000063.SZ,20090930,38.18,-0.4095,34.5422,4.2552,5.3681,0.14580425683112133
000063.SZ,20091231,44.87,0.9421,31.7726,6.6535,9.6173,0.13279938641752345
000063.SZ,20100331,42.5,-0.8111,33.3688,0.8172,1.1386,-0.08217617681523653
000063.SZ,20100630,19.24,-0.4913,33.5165,2.4494,3.1722,-0.5997841682430387
000063.SZ,20100930,24.65,-0.5263,34.7278,3.7516,4.9031,-0.007678356576578936
000063.SZ,20101231,27.3,0.2307,30.2633,6.5415,9.8397,0.02710394241919191
000063.SZ,20110331,30.0,-0.4752,34.2251,0.5128,0.5415,-0.07386984856645541
000063.SZ,20110630,28.28,-0.4419,26.6499,1.916,2.299,0.0844429923749732
000063.SZ,20110930,18.9,-0.5733,31.2281,3.2991,4.3317,0.013315775975772156
000063.SZ,20121231,9.75,0.1153,23.3247,-0.2294,-0.5506,0.22957444164450017
000063.SZ,20130930,16.6,-0.1934,31.3213,2.7472,2.7504,0.01212136053234504
000063.SZ,20131231,13.07,0.1883,31.1801,3.0091,4.1363,-0.22084558017658604
000063.SZ,20140331,12.64,-0.1397,33.544000000000004,0.9662,1.3630000000000002,-0.03955536990506212
000063.SZ,20140630,13.12,0.0467,31.0891,2.1236,2.6409,-0.0022839751078306166
000063.SZ,20140930,15.16,0.0104,30.372,4.0921,4.9065,0.08246428287999923
000063.SZ,20141231,18.06,0.1486,31.3807,4.5239,6.0197,0.14131353306657748
000063.SZ,20150331,21.86,-0.2694,35.3214,1.7806,2.3007,0.06131104216142814
000063.SZ,20150630,23.81,0.1563,32.3493,2.312,3.454,-0.26000306465780404
000063.SZ,20150930,15.6,0.0315,32.6364,4.1764,5.9929999999999986,-0.07112734401558413
000063.SZ,20151231,18.63,7.3358,25.9927,4.4426,6.5586,0.06371581438610757
000063.SZ,20160630,14.34,1.1438,32.2534,2.2875,3.1172,0.039834569585961925
000063.SZ,20160930,14.78,0.2887,28.1174,3.4129,4.7436,0.006788892333686128
000063.SZ,20170331,16.96,-0.3507,32.1995,1.2136,1.7913,0.07084769033083585
000063.SZ,20170630,23.74,-0.3711,32.806999999999995,2.3221,3.3373,0.19520964429293433
000063.SZ,20190930,32.01,0.3064,36.459,4.5975,7.3834,0.10532580488533448
000063.SZ,20191231,35.39,1.1641,34.2726,5.8753,9.1043,0.14184095990464105
000069.SZ,20021231,13.32,0.2768,68.6358,16.0452,14.2503,0.025856953836299094
000069.SZ,20030331,15.58,0.0384,48.8457,2.1907,1.7952,0.06018344828771196
000069.SZ,20030630,8.59,0.0168,-27.9257,6.9544,7.3674,-0.01387305486824749
000069.SZ,20030930,8.2,0.1059,53.0972,9.0393,8.7223,0.00488998529419177
000069.SZ,20031231,6.16,0.2191,55.612,10.624,10.302,-0.001622060371868055
000069.SZ,20040331,7.25,0.0647,52.6519,2.1085,2.0868,-0.008241804895103642
000069.SZ,20040630,5.93,0.0526,51.3921,8.4217,8.8917,-0.062111463543487656
000069.SZ,20040930,7.61,0.0903,53.4723,10.1484,10.4663,0.1794347945215636
000069.SZ,20041231,6.8,-0.0533,26.2161,11.3236,12.4734,-0.0445796316330886
000069.SZ,20050331,8.9,-0.0074,49.0485,1.1646,1.0388,0.016997576368571077
000069.SZ,20050630,9.08,0.3107,50.4746,6.4013,6.9478,0.13290226394696136
000069.SZ,20050930,9.55,0.7114,50.1332,8.5621,9.5727,0.04388076902658023
000069.SZ,20060331,11.56,0.0476,50.9655,0.6441,0.6613,0.032530340920397714
000069.SZ,20060630,11.51,0.0124,46.845,3.8432,4.5348,-0.23024253359879973
000069.SZ,20080331,40.79,-0.0307,51.0167,0.329,0.3881,-0.05183249687114225
000069.SZ,20080630,10.11,0.1383,59.5693,3.8863,4.5418,-0.2899051189397274
000069.SZ,20081231,8.18,0.3144,38.0454,10.7792,11.8199,-0.13901753866130254
000069.SZ,20090331,13.18,0.0918,28.8019,0.982,1.2109,0.1380941381829408
000069.SZ,20090630,20.9,0.3745,44.5255,3.8592,4.6464,0.2485840511580486
000069.SZ,20090930,18.5,1.3846,53.4177,6.1085,7.366,0.10656243887944282
000069.SZ,20091231,17.17,1.966,46.0795,11.2036,13.2629,-0.20231069053942075
000069.SZ,20100331,16.17,-0.3722,49.1713,1.5461,1.957,0.052042199555809424
000069.SZ,20100630,11.0,-0.5361,52.3198,5.5877,6.5632,-0.11170398958000129
000069.SZ,20100930,12.69,-0.5064,49.2788,6.2523,7.7272,-0.03560747689747727
